Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/pose/image,36,1,31000.0,33214.002960224105,3399.7730670380406,60015.453430998605,164770.55555555556,0.3561305165252463,0.00989251434792351,36000,45000,51000,51000,57000,58000,60000,60000,60000,60000,60000
POST,/pose/json,32,2,33000.0,31118.466836909647,3033.1362480064854,60031.17212699726,705.84375,0.3165604591335523,0.01978502869584702,33000,39000,44000,49000,56000,60000,60000,60000,60000,60000,60000
,Aggregated,68,3,33000.0,32227.86831395848,3033.1362480064854,60031.17212699726,87563.63235294117,0.6726909756587987,0.029677543043770526,33000,42000,48000,51000,57000,60000,60000,60000,60000,60000,60000
