Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1746368505,27,,Aggregated,0.400000,0.000000,11000,14000,16000,18000,20000,20000,20000,20000,20000,20000,20000,9,0,11000.0,11546.518134334798,3214.9965729913674,20237.3585839523,122408.33333333333
1746368506,28,,Aggregated,0.400000,0.000000,11000,14000,16000,18000,20000,20000,20000,20000,20000,20000,20000,9,0,11000.0,11546.518134334798,3214.9965729913674,20237.3585839523,122408.33333333333
1746368507,29,,Aggregated,0.400000,0.000000,11000,14000,16000,18000,20000,20000,20000,20000,20000,20000,20000,9,0,11000.0,11546.518134334798,3214.9965729913674,20237.3585839523,122408.33333333333
1746368508,30,,Aggregated,0.400000,0.000000,14000,16000,18000,20000,23000,23000,23000,23000,23000,23000,23000,10,0,11000.0,12673.06483060238,3214.9965729913674,22811.98509701062,125221.5
1746368509,31,,Aggregated,0.400000,0.000000,14000,16000,18000,20000,23000,23000,23000,23000,23000,23000,23000,10,0,11000.0,12673.06483060238,3214.9965729913674,22811.98509701062,125221.5
1746368510,32,,Aggregated,0.400000,0.000000,14000,16000,18000,20000,23000,23000,23000,23000,23000,23000,23000,10,0,11000.0,12673.06483060238,3214.9965729913674,22811.98509701062,125221.5
1746368511,33,,Aggregated,0.400000,0.000000,14000,18000,20000,20000,23000,25000,25000,25000,25000,25000,25000,11,0,14000.0,13776.643911180807,3214.9965729913674,24812.434716965072,113880.36363636363
1746368512,34,,Aggregated,0.400000,0.000000,14000,18000,20000,20000,23000,25000,25000,25000,25000,25000,25000,11,0,14000.0,13776.643911180807,3214.9965729913674,24812.434716965072,113880.36363636363
1746368513,35,,Aggregated,0.400000,0.000000,14000,18000,20000,20000,23000,25000,25000,25000,25000,25000,25000,11,0,14000.0,13776.643911180807,3214.9965729913674,24812.434716965072,113880.36363636363
1746368514,36,,Aggregated,0.400000,0.000000,16000,18000,23000,23000,25000,27000,27000,27000,27000,27000,27000,12,0,14000.0,14858.099941998566,3214.9965729913674,26754.116280993912,104429.58333333333
1746368515,37,,Aggregated,0.400000,0.000000,16000,18000,23000,23000,25000,27000,27000,27000,27000,27000,27000,12,0,14000.0,14858.099941998566,3214.9965729913674,26754.116280993912,104429.58333333333
1746368516,38,,Aggregated,0.400000,0.000000,16000,18000,23000,23000,25000,27000,27000,27000,27000,27000,27000,12,0,14000.0,14858.099941998566,3214.9965729913674,26754.116280993912,104429.58333333333
1746368517,39,,Aggregated,0.400000,0.000000,16000,20000,23000,25000,27000,29000,29000,29000,29000,29000,29000,13,0,16000.0,15946.852345382258,3214.9965729913674,29011.881185986567,96432.76923076923
1746368518,40,,Aggregated,0.400000,0.000000,16000,20000,23000,25000,27000,29000,29000,29000,29000,29000,29000,13,0,16000.0,15946.852345382258,3214.9965729913674,29011.881185986567,96432.76923076923
1746368519,41,,Aggregated,0.400000,0.000000,16000,20000,23000,25000,27000,29000,29000,29000,29000,29000,29000,13,0,16000.0,15946.852345382258,3214.9965729913674,29011.881185986567,96432.76923076923
1746368520,42,,Aggregated,0.400000,0.000000,18000,23000,25000,27000,29000,32000,32000,32000,32000,32000,32000,14,0,16000.0,17083.505407640976,3214.9965729913674,31859.995217004325,100677.85714285714
1746368521,43,,Aggregated,0.400000,0.000000,18000,23000,25000,27000,29000,32000,32000,32000,32000,32000,32000,14,0,16000.0,17083.505407640976,3214.9965729913674,31859.995217004325,100677.85714285714
1746368522,44,,Aggregated,0.400000,0.000000,18000,23000,25000,27000,29000,32000,32000,32000,32000,32000,32000,14,0,16000.0,17083.505407640976,3214.9965729913674,31859.995217004325,100677.85714285714
1746368523,45,,Aggregated,0.400000,0.000000,18000,23000,27000,29000,32000,34000,34000,34000,34000,34000,34000,15,0,18000.0,18199.854050534002,3214.9965729913674,33828.73505103635,108361.2
1746368524,46,,Aggregated,0.400000,0.000000,18000,23000,27000,29000,32000,34000,34000,34000,34000,34000,34000,15,0,18000.0,18199.854050534002,3214.9965729913674,33828.73505103635,108361.2
1746368525,47,,Aggregated,0.400000,0.000000,18000,23000,27000,29000,32000,34000,34000,34000,34000,34000,34000,15,0,18000.0,18199.854050534002,3214.9965729913674,33828.73505103635,108361.2
1746368526,48,,Aggregated,0.400000,0.000000,20000,25000,29000,29000,34000,36000,36000,36000,36000,36000,36000,16,0,18000.0,19302.57487137351,3214.9965729913674,35843.387183966115,119310.625
1746368527,49,,Aggregated,0.400000,0.000000,20000,25000,29000,29000,34000,36000,36000,36000,36000,36000,36000,16,0,18000.0,19302.57487137351,3214.9965729913674,35843.387183966115,119310.625
1746368528,50,,Aggregated,0.400000,0.000000,20000,25000,29000,29000,34000,36000,36000,36000,36000,36000,36000,16,0,18000.0,19302.57487137351,3214.9965729913674,35843.387183966115,119310.625
